atlas_id,artifact_type,value,action
0xfd9f98de666c5b0a5ce96d4a4b8d4ceee9f8c2156734d57bf6c23d0cff183e90,DEFILLAMA_PROTOCOL,kim-exchange,INCLUDE
0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7,DEFILLAMA_PROTOCOL,sonus,INCLUDE
0x7262ed9c020b3b41ac7ba405aab4ff37575f8b6f975ebed2e65554a08419f8f4,DEFILLAMA_PROTOCOL,sablier-finance,INCLUDE
0x9c691ba3012549259099205cc1a7ca4d09d9b7a24a1b7b821b52c7bf1c9b89f4,DEFILLAMA_PROTOCOL,origin-defi,INCLUDE
0x48220ef1d103189cd918e9290db4c4b99b463ae2817fb5ef0cc54556a7961b6f,GITHUB_REPOSITORY,https://github.com/miguelmota/keccak256,INCLUDE
0xcc8d03e014e121d10602eeff729b755d5dc6a317df0d6302c8a9d3b5424aaba8,GITHUB_REPOSITORY,https://github.com/miguelmota/merkletreejs,INCLUDE
0xb926ab918147d2264dba94a429eb07986aa533fd6062a78736d3eda4e0b4a69b,DEFILLAMA_PROTOCOL,uniswap-v3,EXCLUDE
0x808b31862cec6dccf3894bb0e76ce4ca298e4c2820e2ccbf4816da740463b220,OSO_SLUG,fractal-visions,INCLUDE
0xed3d54e5394dc3ed01f15a67fa6a70e203df31c928dad79f70e25cb84f6e2cf9,OSO_SLUG,host-it,INCLUDE
0x15b210abdc6acfd99e60255792b2b78714f4e8c92c4c5e91b898d48d046212a4,OSO_SLUG,defieye,INCLUDE
0x2c1d2ae68e4a718a04a41f1a9fde1ed0648602e08c150e3f72d3dc7ef22dd71a,OSO_SLUG,inkonchain,INCLUDE  
