github_handle,createdAt,referrer,challengesCompleted,batchId
OlirahetaX,2025-11-19 16:55:44.619000+00:00,,1,
MateoDi9z,2025-11-24 22:00:13.012000+00:00,,1,
olibejak,2025-10-18 16:52:49.124000+00:00,,7,
MrKhano,2025-10-04 15:22:29.478000+00:00,https://app.talentprotocol.com/,8,23.0
syed-ghufran-hassan,2023-12-25 11:18:40.579000+00:00,,8,2.0
fede-rodes,2025-11-24 14:56:10.163000+00:00,,1,
zirconsol,2025-11-18 18:32:32.040000+00:00,,3,
photoboy116,2025-10-28 15:02:36.240000+00:00,https://app.talentprotocol.com/,1,
Dashboard,2025-11-23 10:46:04.403000+00:00,,0,
decadent0014,2025-11-23 10:46:03.363000+00:00,,0,
threehour00009,2025-11-23 10:46:03.131000+00:00,,0,
jumpy0015,2025-11-23 10:46:01.185000+00:00,,0,
usetech-nick,2025-11-02 15:28:42.907000+00:00,https://www.google.com/,5,23.0
Lrifton92,2025-11-01 00:37:59.352000+00:00,https://app.talentprotocol.com/,4,
GusNeth,2025-11-22 09:49:59.644000+00:00,,0,
SCARPxVeNOM,2025-11-22 05:47:17.266000+00:00,,0,
sxfbug,2025-11-22 02:16:08.089000+00:00,,0,
hara-desu,2024-10-06 11:20:23.743000+00:00,,9,14.0
therealchisco,2025-11-21 05:19:30.755000+00:00,https://www.google.com/,0,
Uchechukwu-ekezie,2025-11-14 11:53:59.689000+00:00,https://app.talentprotocol.com/,5,
Azeezatou,2025-11-20 14:16:54.910000+00:00,https://www.google.com/,0,
yuk1s4n,2025-11-18 02:15:29.418000+00:00,,3,
gbangbolaoluwagbemiga,2025-10-21 13:23:38.967000+00:00,https://www.google.com/,5,23.0
mehmetali930,2025-08-22 13:20:13.337000+00:00,https://app.talentprotocol.com/,0,
okzhp,2025-11-09 15:11:45.652000+00:00,https://learnblockchain.cn/,4,
manvendra2000,2025-09-29 16:19:21.755000+00:00,https://www.google.com/,1,
koyahness,2025-11-17 19:20:27.094000+00:00,,1,
bituzin,2025-10-01 18:04:26.498000+00:00,https://app.talentprotocol.com/,9,
GitHub,2025-11-18 01:08:41.826000+00:00,https://ethereum.org/,0,
zachyo,2025-09-07 19:20:38.141000+00:00,https://www.google.com/,7,23.0
JhiNResH,2025-11-17 20:07:12.967000+00:00,,0,
wolfcito,2025-11-17 02:19:47.899000+00:00,,1,
quanvo0112,2025-10-08 12:25:45.620000+00:00,,6,
MukeshAbhi,2025-11-16 17:46:16.674000+00:00,https://www.google.com/,0,
dmystical-coder,2025-04-18 09:05:29.716000+00:00,,6,17.0
Mr-Web3,2024-01-30 19:45:25.616000+00:00,,2,
mikerowehl,2025-11-05 06:48:28.410000+00:00,,7,23.0
stakeados,2025-11-15 23:44:55.624000+00:00,https://app.talentprotocol.com/,0,
cryptoflops,2025-11-15 23:10:34.888000+00:00,https://app.talentprotocol.com/,0,
omiaydin1,2025-10-09 13:54:07.150000+00:00,https://app.talentprotocol.com/,0,
NikolaiL,2024-11-12 06:40:51.711000+00:00,,9,13.0
Utopian88,2025-11-03 11:10:55.295000+00:00,,9,
nahuelcastro,2025-11-14 22:56:17.260000+00:00,,1,
travisfont,2025-11-14 15:16:03.751000+00:00,https://www.google.com/,0,
Mystique85,2025-11-13 19:49:44.759000+00:00,https://app.talentprotocol.com/,0,
Mechoj08,2025-10-15 07:17:18.642000+00:00,https://ethereum.org/,6,
bobtajson,2025-10-31 08:30:27.204000+00:00,,7,23.0
changoman,2024-03-13 08:31:00.445000+00:00,,1,
Higobear,2025-10-07 15:06:53.925000+00:00,https://www.google.com/,1,
kiotto-code,2025-11-12 04:19:54.742000+00:00,,1,
aalexmrt,2025-11-10 19:05:14.923000+00:00,https://www.google.com/,1,
jerabekpetr,2025-09-09 11:12:37.805000+00:00,https://www.google.com/,8,
anshulm42,2025-11-11 05:21:27.506000+00:00,https://ethereum.org/,0,
Lynndabel,2025-05-06 19:01:08.444000+00:00,,8,17.0
nnennaokoye,2025-02-25 18:20:47.265000+00:00,,7,17.0
zenniskayy2k4,2025-10-08 12:31:25.739000+00:00,,5,
Leoh559,2025-11-08 02:45:41.059000+00:00,https://ethereum.org/,0,
0x4543,2025-10-24 22:23:54.197000+00:00,https://app.talentprotocol.com/,4,
dharmanan,2025-10-27 13:59:14.348000+00:00,https://medium.com/0xintuition/intuition-the-builders-epoch-72f367169c4b,5,23.0
speckled0003,2025-11-02 13:50:30.282000+00:00,,1,
Bappibd,2025-11-06 14:40:51.558000+00:00,https://ethereum.org/,0,
6464mu,2025-10-11 15:57:12.814000+00:00,https://app.talentprotocol.com/,0,
murilloramos,2025-11-05 17:27:36.871000+00:00,https://t.co/FCc0HDcDOg,0,
Kraiois121,2025-11-04 15:07:39.544000+00:00,,1,
gillwong,2025-11-03 07:01:15.630000+00:00,,3,
diegobianqui,2025-09-27 20:05:30.278000+00:00,,8,22.0
iqbal0kabat,2025-11-04 23:43:58.528000+00:00,https://ethereum.org/,0,
devsimze,2025-10-31 08:43:23.496000+00:00,https://www.google.com/,9,
deepali2806,2025-10-24 17:18:12.303000+00:00,https://search.brave.com/,2,
austinbrehm,2025-02-25 01:23:50.007000+00:00,,6,16.0
aaditya-singh-21,2025-11-03 18:43:54.884000+00:00,https://www.google.com/,0,
lancatlin,2025-11-01 04:49:20.444000+00:00,,3,
davidakinsanya0,2025-10-30 09:37:17.198000+00:00,https://ethereum.org/,7,
tenyear0007,2025-11-02 13:50:38.234000+00:00,,0,
addictive0013,2025-11-02 13:50:37.112000+00:00,,0,
whirling0008,2025-11-02 13:50:35.027000+00:00,,0,
defensible0020,2025-11-02 13:50:33.764000+00:00,,0,
insubstantial0006,2025-11-02 13:50:32.013000+00:00,,0,
busted0016,2025-11-02 13:50:28.933000+00:00,,0,
iridescent0019,2025-11-02 13:50:27.755000+00:00,,0,
outmoded0018,2025-11-02 13:50:26.117000+00:00,,0,
bluegray0004,2025-11-02 13:50:24.265000+00:00,,0,
sorrowful0005,2025-11-02 13:50:22.914000+00:00,,0,
yearend0017,2025-11-02 13:50:20.321000+00:00,,0,
unbridled0011,2025-11-02 13:50:19.296000+00:00,,0,
twoman0010,2025-11-02 13:50:17.825000+00:00,,0,
paralyzed0002,2025-11-02 13:50:05.871000+00:00,,0,
endemic001,2025-11-02 13:30:34.627000+00:00,https://app.talentprotocol.com/,1,
itsmarkster,2025-10-31 20:44:16.926000+00:00,https://app.talentprotocol.com/,1,
syethescientist,2025-06-13 17:54:53.285000+00:00,,5,22.0
Valey_DB,2025-10-29 00:22:31.397000+00:00,,0,
sid-gupta-007,2025-09-24 19:23:19.772000+00:00,https://www.google.com/,0,
andrewshab,2025-10-11 09:48:35.750000+00:00,,8,23.0
MatiasOS,2025-10-26 14:49:25.504000+00:00,https://search.brave.com/,1,
offsdf,2025-10-05 12:11:25.133000+00:00,https://www.google.com/,4,
zerachsec,2025-10-24 18:04:42.761000+00:00,https://ethereum.org/,0,
ozguriskar,2025-10-24 09:59:11.339000+00:00,https://app.talentprotocol.com/,0,
DHRUVCHARNE,2025-10-04 20:24:12.735000+00:00,https://www.google.com/,2,
drsoundz,2025-10-23 00:17:57.333000+00:00,https://www.google.com/,0,
Saraeutsza,2025-10-22 09:39:05.216000+00:00,https://ethereum.org/,0,
PenneconDavid,2025-10-21 17:29:35.397000+00:00,https://www.google.com/,0,
kakzob77,2025-10-21 14:07:49.674000+00:00,,0,
SAYED426,2025-10-21 13:57:04.311000+00:00,https://ethereum.org/,0,
e-l-l,2025-10-18 03:37:39.494000+00:00,https://www.google.com/,6,23.0
fixmissing,2025-10-21 10:35:59.598000+00:00,,0,
gabrielincolnreis,2025-10-20 14:39:50.052000+00:00,https://www.google.com/,0,
thegreatfeez,2025-10-20 14:10:57.274000+00:00,https://www.google.com/,0,
MithuNMikey,2025-10-20 14:07:37.665000+00:00,https://search.brave.com/,0,
Samuel1505,2025-03-07 12:38:33.801000+00:00,,6,16.0
kunalsinghdadhwal,2025-10-19 10:11:35.776000+00:00,,0,
muhamadisro27,2025-10-18 05:19:48.002000+00:00,https://www.google.com/,0,
minast1,2025-10-03 18:35:53.548000+00:00,,4,
rimbalun,2025-10-17 20:29:46.490000+00:00,https://www.google.com/,0,
IKMC,2025-10-15 13:22:49.909000+00:00,https://www.google.com/,1,
lprnmns,2025-10-17 15:58:13.142000+00:00,https://www.google.com/,0,
mhiskall282,2025-10-12 12:08:55.296000+00:00,,1,
santteegt,2022-01-09 14:49:03.588000+00:00,,8,22.0
Vanvala,2025-10-12 07:26:14.273000+00:00,https://ethereum.org/,1,
trashpirate,2025-10-16 15:56:45.096000+00:00,,0,
Story91,2025-10-16 00:17:33.128000+00:00,,0,
obendeben35,2025-10-15 11:01:07.697000+00:00,https://www.google.com/,0,
aliserag,2025-09-03 05:30:37.736000+00:00,https://app.talentprotocol.com/,6,
ethrahere,2025-09-30 07:24:20.679000+00:00,,5,22.0
MrRedl,2025-08-30 13:31:46.034000+00:00,https://app.talentprotocol.com/,1,
jopoepl,2025-10-08 18:20:46.247000+00:00,https://www.google.com/,5,22.0
pidoxy,2021-12-30 17:28:35.592000+00:00,,5,22.0
fjkang,2025-06-24 03:31:45.491000+00:00,,8,19.0
cylim,2024-07-02 02:23:46.061000+00:00,,5,22.0
Legend-KP,2025-08-21 17:36:36.161000+00:00,https://app.talentprotocol.com/,2,
ondrejsvarc,2025-10-13 11:06:58.615000+00:00,https://www.google.com/,0,
letmehateu,2025-09-26 11:01:20.780000+00:00,,8,22.0
spc504social,2025-10-13 02:37:02.734000+00:00,https://www.google.com/,0,
OmgWhoTookMyName,2025-07-17 11:12:10.351000+00:00,,5,
mayurrajput04,2025-10-12 22:11:41.192000+00:00,https://t.co/PysCqLTz4Z,0,
adrioui,2025-08-06 07:29:27.903000+00:00,https://search.brave.com/,5,
eduruizhipolito,2025-10-06 21:20:28.966000+00:00,,3,
wunna9,2025-10-11 16:49:05.402000+00:00,,0,
Eddy3129,2025-09-17 14:08:20.107000+00:00,,8,22.0
SofiaSol10,2025-08-07 17:44:42.595000+00:00,,2,
Zubairafzall,2025-10-07 08:32:41.456000+00:00,https://app.talentprotocol.com/,0,
doobiusP,2025-10-09 10:22:07.299000+00:00,,0,
jadvar29,2025-10-09 05:31:38.488000+00:00,https://campus.ethlima.org/,0,
CarlosDavila310,2025-10-08 20:05:41.561000+00:00,https://campus.ethlima.org/,0,
anupriyalathey,2024-12-02 18:04:18.076000+00:00,,4,
digiclums,2025-10-08 08:03:59.332000+00:00,https://ethereum.org/,0,
megabyte0x,2025-08-12 19:56:28.369000+00:00,,7,22.0
0xbaw,2025-08-21 00:40:50.497000+00:00,https://app.talentprotocol.com/,3,
KartikXx,2025-10-07 14:12:42.264000+00:00,,0,
iamenochlee,2025-06-17 22:49:45.418000+00:00,,5,
krshishir1,2025-09-30 15:03:13.741000+00:00,,2,
twblack88,2025-10-03 19:56:20.004000+00:00,https://www.google.com/,1,
SonnyCastro,2022-05-19 17:32:14.040000+00:00,,7,21.0
tickether,2025-10-06 07:16:41.527000+00:00,https://www.google.com/,0,
kuko0419,2025-10-06 00:49:36.439000+00:00,,0,
laycryp,2025-08-23 17:46:17.897000+00:00,https://app.talentprotocol.com/,4,
yoiioy700,2025-10-05 04:31:46.987000+00:00,https://app.talentprotocol.com/,1,
MANUELO254,2025-09-21 07:34:40.909000+00:00,,0,
wamimi,2025-10-01 13:37:39.709000+00:00,,1,
kaelvnode,2025-09-30 08:18:38.577000+00:00,https://app.talentprotocol.com/,8,
kodvas,2025-10-03 13:31:29.801000+00:00,https://www.google.com/,0,
Ammanuelmek,2025-10-02 17:57:43.857000+00:00,,0,
ahmedfahim21,2025-10-02 10:55:29.944000+00:00,,0,
snattydev,2025-10-01 22:34:37.265000+00:00,https://duckduckgo.com/,0,
gravastar212,2025-10-01 17:28:33.914000+00:00,https://www.google.com/,0,
anupriyalathey,2025-10-01 09:15:32.077000+00:00,https://www.google.com/,0,
sharmanikh03,2025-10-01 04:59:23.610000+00:00,,0,
checkra1neth,2025-09-27 07:17:01.894000+00:00,https://app.talentprotocol.com/,8,22.0
KaranSinghBisht,2025-09-30 07:50:18.991000+00:00,https://t.co/,0,
Adrijan-Petek,2025-09-12 23:50:19.061000+00:00,,8,
dnlvskey,2024-10-23 14:53:08.483000+00:00,,8,16.0
yogiekw,2025-09-28 21:28:39.536000+00:00,https://app.talentprotocol.com/,0,
MoGlobekkifers,2025-09-21 20:51:02.992000+00:00,https://web.telegram.org/,8,
peachpanic,2025-09-28 14:03:18.262000+00:00,https://www.google.com/,0,
schischuMM,2025-09-28 13:49:32.696000+00:00,,0,
batikankutluer,2025-09-28 12:23:12.499000+00:00,,0,
0xsheva,2025-09-25 23:24:19.684000+00:00,https://app.talentprotocol.com/,8,22.0
Protox,2025-09-26 15:24:57.616000+00:00,,0,
HANGDI-AI,2025-09-26 01:24:38.275000+00:00,https://ethereum.org/,0,
zakkycrypt01,2025-09-25 18:53:47.273000+00:00,,0,
